name,bg,pop2017,ratio,popratio
"BG0001001, San Joaquin County, CA",60770001001,1711,1.00,"1,711.00"
"BG0001002, San Joaquin County, CA",60770001002,797,0.81,647.41
"BG0001003, San Joaquin County, CA",60770001003,613,1.00,613.00
"BG0001004, San Joaquin County, CA",60770001004,1048,1.00,"1,048.00"
"BG0003002, San Joaquin County, CA",60770003002,1261,0.36,450.43
"BG0004021, San Joaquin County, CA",60770004021,1140,1.00,"1,140.00"
"BG0004022, San Joaquin County, CA",60770004022,1121,1.00,"1,121.00"
"BG0004023, San Joaquin County, CA",60770004023,1092,1.00,"1,092.00"
"BG0004024, San Joaquin County, CA",60770004024,1605,1.00,"1,605.00"
"BG0005001, San Joaquin County, CA",60770005001,1558,1.00,"1,558.00"
"BG0005002, San Joaquin County, CA",60770005002,1352,1.00,"1,352.00"
"BG0006001, San Joaquin County, CA",60770006001,1191,1.00,"1,191.00"
"BG0006002, San Joaquin County, CA",60770006002,1295,1.00,"1,295.00"
"BG0007001, San Joaquin County, CA",60770007001,1366,1.00,"1,366.00"
"BG0007002, San Joaquin County, CA",60770007002,1708,1.00,"1,708.00"
"BG0007003, San Joaquin County, CA",60770007003,1015,1.00,"1,015.00"
"BG0007004, San Joaquin County, CA",60770007004,1565,1.00,"1,560.84"
"BG0008011, San Joaquin County, CA",60770008011,1898,0.11,214.55
"BG0008012, San Joaquin County, CA",60770008012,3140,1.00,"3,140.00"
"BG0016001, San Joaquin County, CA",60770016001,1385,0.98,"1,352.47"
"BG0016002, San Joaquin County, CA",60770016002,1188,1.00,"1,188.00"
"BG0017002, San Joaquin County, CA",60770017002,1712,0.99,"1,688.09"
"BG0017003, San Joaquin County, CA",60770017003,1251,1.00,"1,251.00"
"BG0018001, San Joaquin County, CA",60770018001,1810,0.98,"1,771.58"
"BG0018002, San Joaquin County, CA",60770018002,2402,1.00,"2,402.00"
"BG0019001, San Joaquin County, CA",60770019001,1602,1.00,"1,602.00"
"BG0019002, San Joaquin County, CA",60770019002,1758,1.00,"1,758.00"
"BG0019003, San Joaquin County, CA",60770019003,1568,1.00,"1,568.00"
"BG0019004, San Joaquin County, CA",60770019004,1078,1.00,"1,078.00"
"BG0020001, San Joaquin County, CA",60770020001,1181,0.97,"1,149.80"
"BG0020002, San Joaquin County, CA",60770020002,1371,0.98,"1,346.52"
"BG0020003, San Joaquin County, CA",60770020003,1728,0.98,"1,690.54"
"BG0021001, San Joaquin County, CA",60770021001,1731,1.00,"1,731.00"
"BG0021002, San Joaquin County, CA",60770021002,2831,0.98,"2,788.17"
"BG0021003, San Joaquin County, CA",60770021003,1396,0.99,"1,388.88"
"BG0022011, San Joaquin County, CA",60770022011,1090,1.00,"1,090.00"
"BG0022012, San Joaquin County, CA",60770022012,1926,1.00,"1,926.00"
"BG0022021, San Joaquin County, CA",60770022021,1598,1.00,"1,598.00"
"BG0022022, San Joaquin County, CA",60770022022,2012,1.00,"2,012.00"
"BG0022023, San Joaquin County, CA",60770022023,2258,1.00,"2,258.00"
"BG0023001, San Joaquin County, CA",60770023001,1795,1.00,"1,795.00"
"BG0023002, San Joaquin County, CA",60770023002,1713,1.00,"1,713.00"
"BG0023003, San Joaquin County, CA",60770023003,1888,1.00,"1,888.00"
"BG0024011, San Joaquin County, CA",60770024011,1963,1.00,"1,963.00"
"BG0024012, San Joaquin County, CA",60770024012,1392,1.00,"1,392.00"
"BG0024013, San Joaquin County, CA",60770024013,1999,1.00,"1,999.00"
"BG0024021, San Joaquin County, CA",60770024021,1426,0.96,"1,364.23"
"BG0024022, San Joaquin County, CA",60770024022,963,1.00,963.00
"BG0025031, San Joaquin County, CA",60770025031,1333,0.52,697.85
"BG0025032, San Joaquin County, CA",60770025032,1389,1.00,"1,389.00"
"BG0025041, San Joaquin County, CA",60770025041,2129,1.00,"2,129.00"
"BG0028001, San Joaquin County, CA",60770028001,4810,0.99,"4,748.82"
"BG0028002, San Joaquin County, CA",60770028002,1730,1.00,"1,730.00"
"BG0038031, San Joaquin County, CA",60770038031,1071,0.33,349.95
"BG0038033, San Joaquin County, CA",60770038033,1286,0.12,154.79